ref;latOSM;lngOSM;operator;latLP;lngLP;diff_radians;dif_metres;numero;rue;ville
A0B2M9;43.3646041;1.8214164;La Poste;43.3466307356081;1.85136990077249;0,000492846;3143,370334;6;PLACE DE LA MAIRIE;MONTFERRAND
A0B6M1;44.3694263;2.5888087;La Poste;44.3726317036479;2.58013978836131;0,000121767;776,6274916;0;BOULEVARD DES BALQUIERES;ONET LE CHATEAU
A0K7M3;49.0755803;1.5325643;La Poste;49.0771072633435;1.52564314002869;0,0000835;532,5366726;103;RUE CLAUDE MONET;GIVERNY
A0N1C1;43.9488369;4.5416417;La Poste;43.9532408716633;4.53772106490756;0,0000913;582,2853684;0;ROUTE DU PONT DU GARD;VERS PONT DU GARD
A0N1L0;43.8540239;4.1128117;La Poste;43.8083611716354;4.04693947251823;0,001150217;7336,085275;11;ROUTE DE SALINELLES;ASPERES
A0O0P9;43.5988372;1.3392154;La Poste;43.5947911015528;1.32883520374277;0,000149001;950,3304347;0;CHEMIN DE COURNAUDIS;COLOMIERS
A0Q0Q6;43.6515953;3.8803238;La Poste;43.6527641215319;3.87773756627702;0,0000385;245,5981938;11;RUE DE LA SOURCE;CLAPIERS
A0T7V1;44.0433305;-0.5388785;La Poste;44.041383904811;-0.585276692505713;0,000583097;3718,991596;0;ROUTE DE GAREIN;BROCAS
A0V0I9;45.4400591;4.3909418;La Poste;45.4859282998162;4.37675080823003;0,000819199;5224,850814;0;RUE DE VERDUN;L ETRAT
A0V0J7;45.4291659;4.3888866;La Poste;45.425352618321;4.39920925037012;0,000142888;911,3403686;20;RUE DESIRE CLAUDE;ST ETIENNE
A0V0K0;45.4369751;4.4019425;La Poste;45.458210852424;4.37515225191217;0,000494951;3156,795346;22;RUE PAUL PETIT;ST ETIENNE
A0V7T7;47.2396813;-1.5374613;La Poste;47.2381103813213;-1.53916076427224;0,000034;216,9721736;73;ROUTE DE SAINT JOSEPH;NANTES
A0V7T8;47.2396813;-1.5374613;La Poste;47.2381103813213;-1.53916076427224;0,000034;216,9721736;73;ROUTE DE SAINT JOSEPH;NANTES
A0W7G2;47.8973271;1.8285247;La Poste;47.896079504482;1.82581626066817;0,0000385;245,253566;0;RUE DU PETIT BOIS;LA CHAPELLE ST MESMIN
A0Y6H0;45.0494597;6.2956028;La Poste;45.0486245564697;6.29971806262764;0,0000528;336,7349141;0;LIEU DIT LES TERRASSES;LA GRAVE
A0Z3G6;49.4155108;-1.1759058;La Poste;49.3787000022701;-1.2248999267139;0,000849986;5421,212716;0;UTAH BEACH;STE MARIE DU MONT
